epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.3669,1.43378,4.71669,1.19209,0.00217,0.65,0.00336,0.00183,1.46662,4.71173,1.13355,0.000533333,0.000533333,0.000533333
2,25.5471,1.57475,3.69293,1.10983,0.00233,0.7,0.00387,0.0013,1.58967,4.86035,1.17043,0.00118812,0.00118812,0.00118812
3,30.767,1.54129,3.27509,1.14288,0.00167,0.5,0.00158,0.00048,1.97342,5.55366,1.36844,0.00182971,0.00182971,0.00182971
4,35.8855,1.61585,3.21585,1.09198,0.0015,0.45,0.00111,0.00046,1.83447,5.60927,1.31458,0.0019406,0.0019406,0.0019406
5,41.1851,1.66001,2.88593,1.18607,0.00033,0.1,4e-05,1e-05,2.18575,7.11236,1.6635,0.0019208,0.0019208,0.0019208
6,46.4609,1.56426,2.64504,1.2663,0,0,0,0,2.79687,7.66884,2.20932,0.001901,0.001901,0.001901
7,51.8359,1.55315,2.53529,1.13505,0,0,0,0,2.28494,6.3356,1.97785,0.0018812,0.0018812,0.0018812
8,57.1765,1.40362,2.51706,1.13591,0.00017,0.05,1e-05,0,2.09399,6.39355,1.77064,0.0018614,0.0018614,0.0018614
9,62.5261,1.47818,2.23899,1.14068,0.001,0.3,0.00065,0.00026,1.76903,5.32774,1.39195,0.0018416,0.0018416,0.0018416
10,67.8635,1.50889,2.18123,1.12997,0.00133,0.4,0.00079,0.00032,1.65705,5.00396,1.36679,0.0018218,0.0018218,0.0018218
11,73.1684,1.43911,2.02876,1.09036,0.0015,0.45,0.00129,0.00051,1.65446,4.98154,1.32316,0.001802,0.001802,0.001802
12,78.435,1.27824,1.97234,1.09651,0.002,0.6,0.00262,0.0012,1.59154,4.57098,1.24696,0.0017822,0.0017822,0.0017822
13,83.6938,1.27602,1.84606,1.07471,0.002,0.6,0.0971,0.07715,1.40679,4.08374,1.23561,0.0017624,0.0017624,0.0017624
14,89.0629,1.23697,1.97863,1.05334,0.00217,0.65,0.34906,0.26526,1.27117,3.70992,1.19158,0.0017426,0.0017426,0.0017426
15,94.4993,1.17702,1.70866,1.07189,1,0.30962,0.38957,0.27641,1.35075,3.39244,1.21613,0.0017228,0.0017228,0.0017228
16,99.8334,1.30244,1.68483,1.0598,0.68723,0.1,0.32167,0.21241,1.43636,3.52692,1.20806,0.001703,0.001703,0.001703
17,105.156,1.22276,1.6461,1.05008,0.25793,0.25,0.19411,0.13321,1.37037,3.30834,1.18662,0.0016832,0.0016832,0.0016832
18,110.421,1.22507,1.53054,1.03378,1,0.3236,0.55212,0.36216,1.31559,2.99588,1.15701,0.0016634,0.0016634,0.0016634
19,115.715,1.19301,1.51903,1.05842,0.91085,0.51159,0.69534,0.48069,1.34944,2.80803,1.14118,0.0016436,0.0016436,0.0016436
20,120.99,1.26713,1.55907,1.05994,0.91912,0.56914,0.72903,0.47641,1.3509,2.61697,1.10973,0.0016238,0.0016238,0.0016238
21,126.27,1.22229,1.48347,1.05069,0.75159,0.45413,0.69032,0.46145,1.32801,2.61483,1.10553,0.001604,0.001604,0.001604
22,131.613,1.26034,1.35877,1.06712,0.73169,0.7,0.67124,0.45697,1.29761,2.39297,1.08885,0.0015842,0.0015842,0.0015842
23,136.863,1.17204,1.3693,1.00367,0.80799,0.7,0.72597,0.45262,1.30865,2.06456,1.07958,0.0015644,0.0015644,0.0015644
24,142.186,1.16094,1.27739,0.99101,0.81731,0.7,0.78878,0.53661,1.22381,1.94902,1.0809,0.0015446,0.0015446,0.0015446
25,147.521,1.16797,1.2042,1.01892,0.88345,0.75841,0.82768,0.60759,1.13599,1.67059,1.03318,0.0015248,0.0015248,0.0015248
26,152.881,1.16007,1.17692,0.9983,0.93215,0.68759,0.82084,0.59643,1.12808,1.56002,1.01812,0.001505,0.001505,0.001505
27,158.264,1.18116,1.19955,1.06175,0.93385,0.70619,0.82267,0.59772,1.18511,1.56727,1.04085,0.0014852,0.0014852,0.0014852
28,163.682,1.19523,1.18847,1.14002,0.90781,0.75,0.8172,0.5551,1.17699,1.58036,1.03264,0.0014654,0.0014654,0.0014654
29,169.417,1.09572,1.11725,0.9594,1,0.69365,0.84302,0.58214,1.12467,1.56071,1.00676,0.0014456,0.0014456,0.0014456
30,174.802,1.08295,1.15862,0.99378,1,0.69567,0.85318,0.58691,1.10536,1.47337,0.99921,0.0014258,0.0014258,0.0014258
31,180.151,1.04278,1.04122,0.98812,1,0.72057,0.85287,0.61502,1.09805,1.49479,0.99855,0.001406,0.001406,0.001406
